profile_id,customer_id,income_level,loyalty_level,marital_status,age,occupation
124,124,Low,Silver,Single,41,"Therapist, horticultural"
125,125,Medium,Gold,Single,67,"Surveyor, commercial/residential"
126,126,Medium,Platinum,Single,42,"Conservator, museum/gallery"
127,127,High,Platinum,Single,45,Land/geomatics surveyor
128,128,Low,Platinum,Married,50,Haematologist
129,129,Medium,Platinum,Single,33,Applications developer
130,130,Low,Platinum,Married,43,Production manager
131,131,High,Bronze,Single,60,Risk manager
132,132,Low,Bronze,Married,64,Careers information officer
133,133,Low,Silver,Married,51,Local government officer
134,134,Low,Gold,Married,31,Volunteer coordinator
135,135,High,Silver,Single,23,Visual merchandiser
136,136,Medium,Bronze,Married,23,Social worker
137,137,Low,Bronze,Single,36,Public house manager
138,138,Low,Gold,Single,38,Psychiatric nurse
139,139,High,Platinum,Single,24,Brewing technologist
140,140,High,Bronze,Married,32,IT trainer
141,141,Medium,Gold,Married,26,Waste management officer
142,142,Medium,Gold,Single,56,Scientific laboratory technician
143,143,Medium,Gold,Married,33,Consulting civil engineer
144,144,Low,Silver,Single,29,Press sub
145,145,Low,Gold,Married,44,Equities trader
146,146,Low,Gold,Single,27,Multimedia specialist
147,147,Low,Gold,Single,50,Proofreader
148,148,Medium,Gold,Single,65,Energy engineer
149,149,High,Gold,Single,35,Pharmacologist
150,150,Medium,Platinum,Married,51,Haematologist
151,151,Medium,Bronze,Single,42,Sport and exercise psychologist
152,152,Low,Silver,Single,55,Technical brewer
153,153,High,Bronze,Single,19,"Surveyor, rural practice"
154,154,Low,Silver,Single,48,"Journalist, magazine"
155,155,High,Platinum,Single,64,Trading standards officer
156,156,High,Platinum,Married,48,Garment/textile technologist
157,157,Low,Gold,Single,39,Orthoptist
158,158,High,Bronze,Single,59,Museum/gallery exhibitions officer
159,159,High,Platinum,Married,67,Exhibition designer
160,160,Medium,Gold,Married,62,Animator
161,161,High,Gold,Single,27,Geophysical data processor
162,162,Medium,Gold,Married,24,Energy engineer
163,163,Low,Gold,Single,69,Pensions consultant
164,164,Medium,Bronze,Single,49,"Librarian, academic"
165,165,Low,Platinum,Single,42,Lexicographer
166,166,Low,Platinum,Single,65,IT trainer
167,167,Medium,Bronze,Single,22,Teaching laboratory technician
168,168,High,Bronze,Single,63,"Surveyor, rural practice"
169,169,Low,Bronze,Married,30,Early years teacher
170,170,Low,Bronze,Single,54,Hospital pharmacist
171,171,High,Silver,Married,69,Agricultural engineer
172,172,Low,Bronze,Married,48,"Scientist, marine"
173,173,Low,Bronze,Single,60,"Designer, ceramics/pottery"
174,174,Medium,Silver,Married,51,Information officer
175,175,Medium,Bronze,Single,68,Horticultural consultant
176,176,High,Bronze,Single,67,Writer
177,177,Medium,Gold,Single,24,Medical technical officer
178,178,Medium,Bronze,Married,66,Theme park manager
179,179,Low,Silver,Single,64,Animal technologist
180,180,Medium,Silver,Married,39,"Scientist, water quality"
181,181,High,Bronze,Married,29,Research scientist (life sciences)
182,182,Low,Silver,Married,52,Community arts worker
183,183,Low,Gold,Single,64,Solicitor
184,184,High,Gold,Single,28,Investment analyst
185,185,Medium,Bronze,Married,66,Environmental manager
186,186,Medium,Gold,Single,62,Financial controller
187,187,Medium,Platinum,Married,63,Armed forces technical officer
188,188,Low,Gold,Married,32,Company secretary
189,189,High,Platinum,Married,35,"Presenter, broadcasting"
190,190,High,Gold,Married,51,Housing manager/officer
191,191,Medium,Platinum,Single,48,Podiatrist
192,192,High,Platinum,Single,27,"Surveyor, rural practice"
193,193,Medium,Gold,Married,41,"Surveyor, commercial/residential"
194,194,Low,Gold,Married,21,"Engineer, maintenance"
195,195,Medium,Silver,Married,41,"Therapist, occupational"
196,196,High,Bronze,Single,31,"Engineer, manufacturing"
197,197,High,Gold,Married,20,Early years teacher
198,198,High,Bronze,Married,36,Ergonomist
199,199,Low,Gold,Married,20,Medical physicist
200,200,High,Gold,Married,46,"Scientist, research (physical sciences)"
201,201,Low,Silver,Single,48,Chief Operating Officer
202,202,Low,Platinum,Single,65,Gaffer
203,203,Medium,Silver,Single,59,Operations geologist
204,204,Low,Silver,Single,64,"Programmer, systems"
205,205,High,Platinum,Married,38,"Accountant, chartered certified"
206,206,Low,Bronze,Married,60,Corporate treasurer
207,207,High,Gold,Married,66,Electronics engineer
208,208,Medium,Silver,Single,29,Air broker
209,209,Medium,Platinum,Single,58,"Scientist, audiological"
210,210,High,Silver,Single,33,Maintenance engineer
211,211,Medium,Gold,Single,29,Armed forces training and education officer
212,212,Medium,Bronze,Single,66,Associate Professor
213,213,High,Platinum,Single,25,General practice doctor
214,214,Medium,Gold,Single,65,Public relations officer
215,215,Medium,Gold,Single,32,Estate manager/land agent
216,216,Medium,Gold,Married,63,"Surveyor, minerals"
217,217,High,Platinum,Single,35,Optometrist
218,218,Medium,Bronze,Married,26,"Pharmacist, hospital"
219,219,Medium,Gold,Single,31,Health visitor
220,220,High,Gold,Married,29,Product manager
221,221,Low,Platinum,Single,69,"Accountant, chartered public finance"
222,222,Low,Bronze,Single,65,Advertising account executive
223,223,Medium,Platinum,Married,44,"Engineer, maintenance (IT)"
224,224,High,Platinum,Married,47,Public house manager
225,225,High,Silver,Single,62,Tax inspector
226,226,Low,Platinum,Single,65,Local government officer
227,227,Medium,Platinum,Single,68,Chief Financial Officer
228,228,Low,Platinum,Married,31,"Engineer, site"
229,229,High,Platinum,Married,39,Art therapist
230,230,Low,Gold,Married,46,Technical author
231,231,Medium,Silver,Married,20,Haematologist
232,232,Low,Platinum,Married,70,Facilities manager
233,233,High,Gold,Married,36,Press sub
234,234,High,Silver,Single,22,Public librarian
235,235,Low,Platinum,Married,61,Clinical psychologist
236,236,High,Silver,Single,32,Health and safety inspector
237,237,Low,Gold,Married,48,Risk analyst
238,238,High,Bronze,Single,46,Patent examiner
239,239,Medium,Bronze,Single,51,Health service manager
240,240,High,Gold,Married,21,Chartered legal executive (England and Wales)
241,241,Medium,Bronze,Married,64,Ergonomist
242,242,Low,Gold,Married,18,Quality manager
243,243,High,Platinum,Married,52,"Scientist, research (life sciences)"
244,244,High,Platinum,Single,34,Art therapist
245,245,High,Bronze,Married,43,"Engineer, mining"
246,246,Low,Gold,Married,37,"Social research officer, government"
247,247,High,Silver,Married,38,Dealer
248,248,Medium,Silver,Married,49,"Production designer, theatre/television/film"
249,249,High,Bronze,Married,56,"Designer, fashion/clothing"
250,250,Medium,Bronze,Married,19,"Psychologist, occupational"
251,251,Low,Gold,Married,49,"Engineer, production"
252,252,Medium,Silver,Single,50,Ambulance person
253,253,Medium,Silver,Single,65,Financial adviser
254,254,Medium,Bronze,Single,18,Metallurgist
255,255,Low,Gold,Single,59,Barista
256,256,High,Bronze,Single,38,Museum education officer
257,257,Low,Platinum,Married,41,Occupational hygienist
258,258,Low,Silver,Single,54,Agricultural consultant
259,259,Low,Silver,Married,54,Statistician
260,260,Medium,Bronze,Married,40,"Scientist, biomedical"
261,261,Low,Platinum,Single,43,Environmental consultant
262,262,Medium,Gold,Single,25,Financial planner
263,263,Medium,Silver,Married,48,Water quality scientist
264,264,Low,Gold,Single,66,Company secretary
265,265,Low,Gold,Single,29,Chief Financial Officer
266,266,Low,Silver,Married,34,Tax adviser
267,267,Low,Bronze,Single,47,Furniture conservator/restorer
268,268,Medium,Bronze,Single,55,Scientific laboratory technician
269,269,Medium,Platinum,Single,18,Graphic designer
270,270,Medium,Gold,Married,47,Politician's assistant
271,271,Low,Gold,Single,67,Education administrator
272,272,High,Silver,Married,60,"Designer, industrial/product"
273,273,High,Platinum,Married,50,"Loss adjuster, chartered"
274,274,Medium,Bronze,Married,46,Camera operator
275,275,High,Bronze,Single,18,Administrator
276,276,High,Platinum,Single,62,Podiatrist
277,277,High,Platinum,Married,47,Ranger/warden
278,278,Medium,Silver,Single,33,"Secretary, company"
279,279,Low,Silver,Single,56,Clinical psychologist
280,280,Low,Platinum,Single,53,"Scientist, research (medical)"
281,281,High,Platinum,Married,65,TEFL teacher
282,282,High,Silver,Married,37,Chief Executive Officer
283,283,Medium,Platinum,Single,59,"Designer, textile"
284,284,Medium,Bronze,Single,55,Location manager
285,285,Medium,Gold,Married,54,Legal executive
286,286,Medium,Gold,Married,33,"Engineer, biomedical"
287,287,High,Silver,Single,21,English as a second language teacher
288,288,Medium,Platinum,Single,39,Herbalist
289,289,Medium,Silver,Single,59,Soil scientist
290,290,High,Silver,Single,61,Office manager
291,291,Low,Silver,Single,51,Fast food restaurant manager
292,292,Medium,Platinum,Single,45,Chiropodist
293,293,Medium,Platinum,Single,57,"Presenter, broadcasting"
294,294,High,Bronze,Married,19,Counsellor
295,295,Medium,Bronze,Married,60,"Designer, multimedia"
296,296,Low,Gold,Married,67,"Administrator, sports"
297,297,Medium,Silver,Married,39,Energy manager
298,298,High,Bronze,Married,60,Patent examiner
299,299,High,Platinum,Single,62,Consulting civil engineer
300,300,Low,Platinum,Single,49,Horticultural therapist
301,301,Low,Silver,Single,40,Environmental health practitioner
302,302,Medium,Platinum,Single,22,Office manager
303,303,Low,Bronze,Married,66,Psychiatrist
304,304,Low,Silver,Married,36,Ambulance person
305,305,Medium,Silver,Married,63,Rural practice surveyor
306,306,Low,Gold,Married,28,Office manager
307,307,Low,Gold,Single,24,"Production designer, theatre/television/film"
308,308,High,Silver,Married,23,Film/video editor
309,309,Medium,Gold,Single,55,"Surveyor, quantity"
310,310,Medium,Platinum,Single,33,Energy manager
311,311,High,Bronze,Married,35,Air broker
312,312,Medium,Silver,Single,60,Geoscientist
313,313,Medium,Bronze,Married,49,Landscape architect
314,314,High,Silver,Married,47,Tourism officer
315,315,High,Silver,Married,65,Phytotherapist
316,316,Medium,Platinum,Married,47,"Teacher, special educational needs"
317,317,Low,Bronze,Single,56,"Designer, blown glass/stained glass"
318,318,High,Gold,Married,20,Arboriculturist
319,319,Medium,Silver,Married,48,Arboriculturist
320,320,Medium,Gold,Married,40,Press photographer
321,321,Low,Gold,Single,24,"Therapist, nutritional"
322,322,Low,Gold,Married,22,"Scientist, marine"
323,323,Low,Silver,Single,21,Broadcast engineer
324,324,Medium,Gold,Single,58,Make
325,325,Medium,Platinum,Married,32,Interior and spatial designer
326,326,Medium,Silver,Married,24,Historic buildings inspector/conservation officer
327,327,Low,Platinum,Single,29,Technical author
328,328,High,Platinum,Single,25,"Psychologist, educational"
329,329,Medium,Gold,Single,38,Architectural technologist
330,330,Medium,Silver,Single,39,"Engineer, control and instrumentation"
331,331,High,Gold,Married,66,Energy manager
332,332,Medium,Silver,Married,50,Radio broadcast assistant
333,333,High,Platinum,Married,38,"Scientist, research (maths)"
334,334,High,Bronze,Married,27,Public house manager
335,335,High,Bronze,Married,56,Insurance risk surveyor
336,336,High,Bronze,Married,39,"Psychologist, educational"
337,337,High,Platinum,Married,28,Operations geologist
338,338,High,Gold,Married,24,"Engineer, broadcasting (operations)"
339,339,High,Platinum,Single,33,Aid worker
340,340,Medium,Platinum,Single,55,Exercise physiologist
341,341,High,Bronze,Married,36,Ranger/warden
342,342,Medium,Platinum,Married,55,Technical brewer
343,343,Medium,Platinum,Single,58,Dealer
344,344,High,Platinum,Married,35,Hydrogeologist
345,345,High,Platinum,Married,55,Patent examiner
346,346,Low,Gold,Single,48,Community arts worker
347,347,Medium,Silver,Single,69,Barrister's clerk
348,348,Low,Silver,Single,65,Consulting civil engineer
349,349,Medium,Silver,Single,24,"Administrator, arts"
350,350,Medium,Gold,Single,27,Tour manager
351,351,High,Platinum,Married,67,IT technical support officer
352,352,High,Platinum,Single,31,Clinical research associate
353,353,Medium,Gold,Married,61,Leisure centre manager
354,354,Low,Platinum,Single,54,"Programmer, systems"
355,355,Medium,Platinum,Single,65,Armed forces operational officer
356,356,High,Bronze,Married,62,"Research officer, government"
357,357,High,Silver,Married,70,"Therapist, speech and language"
358,358,High,Gold,Married,50,"Lecturer, higher education"
359,359,High,Gold,Single,30,"Engineer, water"
360,360,High,Platinum,Married,67,Pensions consultant
361,361,Medium,Platinum,Single,27,Tourist information centre manager
362,362,Medium,Platinum,Single,56,Speech and language therapist
363,363,Low,Silver,Married,52,"Conservator, furniture"
364,364,High,Gold,Married,69,Sub
365,365,High,Silver,Single,33,Energy engineer
366,366,Low,Gold,Married,53,Retail merchandiser
367,367,Low,Bronze,Single,37,Lexicographer
368,368,High,Silver,Single,34,Adult nurse
369,369,Medium,Platinum,Single,32,Fisheries officer
370,370,High,Platinum,Single,51,Radio broadcast assistant
371,371,Low,Platinum,Married,27,Cabin crew
372,372,High,Gold,Single,39,Meteorologist
373,373,High,Gold,Married,33,"Engineer, biomedical"
374,374,Medium,Bronze,Married,22,Planning and development surveyor
375,375,Medium,Bronze,Married,37,"Restaurant manager, fast food"
376,376,High,Gold,Married,48,Communications engineer
377,377,Low,Silver,Single,34,Product manager
378,378,High,Bronze,Single,49,Environmental health practitioner
379,379,Low,Platinum,Single,39,"Scientist, research (physical sciences)"
380,380,Medium,Silver,Single,26,Health promotion specialist
381,381,Low,Silver,Married,49,Dancer
382,382,Medium,Gold,Single,35,Sports development officer
383,383,High,Platinum,Single,49,"Scientist, physiological"
384,384,High,Platinum,Married,30,"Education officer, environmental"
385,385,High,Bronze,Married,28,"Journalist, magazine"
386,386,Medium,Bronze,Married,63,Podiatrist
387,387,Medium,Bronze,Single,57,"Administrator, education"
388,388,Medium,Platinum,Single,58,Applications developer
389,389,High,Silver,Single,49,"Editor, magazine features"
390,390,High,Platinum,Single,19,Financial adviser
391,391,Medium,Bronze,Married,62,Data scientist
392,392,High,Gold,Married,67,"Pilot, airline"
393,393,Medium,Gold,Married,43,Purchasing manager
394,394,Medium,Bronze,Single,47,Optometrist
395,395,Low,Silver,Single,36,Orthoptist
396,396,High,Bronze,Married,38,Electronics engineer
397,397,High,Silver,Married,37,"Biochemist, clinical"
398,398,High,Bronze,Single,51,Multimedia programmer
399,399,Medium,Silver,Married,22,Oceanographer
400,400,Low,Bronze,Married,64,Neurosurgeon
401,401,Low,Silver,Single,59,"Designer, multimedia"
402,402,Medium,Gold,Single,22,Youth worker
403,403,High,Silver,Married,51,Film/video editor
404,404,High,Bronze,Single,22,Tax adviser
405,405,Low,Silver,Married,62,Industrial buyer
406,406,Low,Silver,Single,40,Health and safety adviser
407,407,High,Gold,Married,41,Senior tax professional/tax inspector
408,408,Low,Silver,Married,18,Optometrist
409,409,Medium,Silver,Married,36,Retail buyer
410,410,High,Bronze,Single,38,Copy
411,411,Medium,Gold,Single,59,Mental health nurse
412,412,High,Bronze,Single,33,Environmental health practitioner
413,413,High,Platinum,Single,58,Optometrist
414,414,Medium,Platinum,Single,19,Garment/textile technologist
415,415,Low,Silver,Single,28,"Therapist, occupational"
416,416,Medium,Silver,Single,41,Customer service manager
417,417,Low,Silver,Married,63,"Conservation officer, nature"
418,418,Medium,Gold,Married,47,Politician's assistant
419,419,Medium,Silver,Single,64,Counselling psychologist
420,420,High,Gold,Married,41,"Scientist, audiological"
421,421,Low,Silver,Single,35,"Biochemist, clinical"
422,422,Low,Silver,Single,62,Primary school teacher
423,423,Medium,Gold,Single,59,"Administrator, sports"
424,424,High,Platinum,Married,34,"Teacher, secondary school"
425,425,Medium,Platinum,Single,60,Corporate treasurer
426,426,Low,Platinum,Single,66,"Investment banker, operational"
427,427,Medium,Gold,Married,26,Homeopath
428,428,Medium,Silver,Married,42,General practice doctor
429,429,Medium,Bronze,Married,46,Research scientist (maths)
430,430,Low,Silver,Married,37,"Psychotherapist, dance movement"
431,431,Medium,Platinum,Married,42,Seismic interpreter
432,432,Low,Gold,Married,30,"Presenter, broadcasting"
433,433,Low,Silver,Single,46,Publishing rights manager
434,434,High,Platinum,Married,45,"Engineer, drilling"
435,435,Low,Bronze,Married,57,Photographer
436,436,Low,Silver,Married,65,Copy
437,437,High,Silver,Single,50,"Scientist, audiological"
438,438,Medium,Silver,Married,19,Estate agent
439,439,Low,Platinum,Single,48,Toxicologist
440,440,Medium,Silver,Single,18,Textile designer
441,441,Medium,Silver,Married,26,Advertising account planner
442,442,Low,Platinum,Married,41,Web designer
443,443,High,Silver,Married,19,Insurance account manager
444,444,High,Bronze,Married,53,Advice worker
445,445,Low,Platinum,Single,57,"Nurse, mental health"
446,446,Low,Platinum,Married,36,Chief Executive Officer
447,447,Medium,Bronze,Married,36,"Administrator, sports"
448,448,Medium,Silver,Single,64,Personal assistant
449,449,Medium,Bronze,Single,69,Clinical psychologist
450,450,Medium,Gold,Married,40,"Teacher, primary school"
451,451,Medium,Silver,Married,59,"Engineer, communications"
452,452,Medium,Silver,Single,67,"Lighting technician, broadcasting/film/video"
453,453,High,Silver,Married,62,"Engineer, drilling"
454,454,Low,Gold,Single,45,Water engineer
455,455,High,Platinum,Married,69,Community development worker
456,456,Medium,Gold,Married,38,Clinical molecular geneticist
457,457,Medium,Gold,Single,56,Office manager
458,458,High,Platinum,Married,18,"Teacher, special educational needs"
459,459,Low,Gold,Married,69,TEFL teacher
460,460,Low,Gold,Single,56,Retail buyer
461,461,Low,Silver,Single,54,Community education officer
462,462,High,Platinum,Single,30,"Optician, dispensing"
463,463,Medium,Bronze,Married,58,"Nurse, adult"
464,464,Medium,Platinum,Married,42,"Editor, commissioning"
465,465,Low,Silver,Married,39,Software engineer
466,466,High,Silver,Single,24,Music therapist
467,467,Low,Gold,Married,36,Metallurgist
468,468,Medium,Bronze,Single,32,Geographical information systems officer
469,469,High,Platinum,Single,41,"Nurse, mental health"
470,470,Low,Gold,Married,66,Architect
471,471,Medium,Bronze,Married,54,"Engineer, automotive"
472,472,High,Silver,Married,51,Manufacturing systems engineer
473,473,High,Bronze,Single,49,Chemical engineer
474,474,Low,Bronze,Married,22,Charity fundraiser
475,475,Medium,Platinum,Married,61,Graphic designer
476,476,High,Gold,Married,49,Industrial/product designer
477,477,High,Bronze,Single,48,Intelligence analyst
478,478,Low,Platinum,Married,37,Chief Technology Officer
479,479,Low,Platinum,Single,44,"Engineer, maintenance (IT)"
480,480,High,Gold,Married,56,"Administrator, local government"
481,481,Low,Gold,Single,39,Information officer
482,482,Low,Bronze,Single,59,"Research officer, government"
483,483,High,Silver,Single,46,"Therapist, drama"
484,484,Low,Silver,Married,39,Chartered legal executive (England and Wales)
485,485,Low,Bronze,Single,57,"Scientist, forensic"
486,486,Low,Gold,Single,47,Insurance risk surveyor
487,487,High,Silver,Married,55,Drilling engineer
488,488,High,Bronze,Married,60,"Teacher, special educational needs"
489,489,Medium,Bronze,Married,54,"Sales professional, IT"
490,490,Medium,Silver,Married,52,Seismic interpreter
491,491,High,Silver,Single,66,Air broker
492,492,High,Platinum,Married,55,Analytical chemist
493,493,Medium,Platinum,Single,41,Regulatory affairs officer
494,494,Low,Platinum,Married,37,Podiatrist
495,495,Medium,Gold,Married,28,Training and development officer
496,496,High,Silver,Single,35,Maintenance engineer
497,497,Low,Platinum,Single,53,Mechanical engineer
498,498,High,Silver,Single,57,"Engineer, mining"
499,499,Medium,Bronze,Married,31,Audiological scientist
500,500,Low,Platinum,Married,69,Air cabin crew
501,501,High,Bronze,Single,61,Museum/gallery curator
502,502,Low,Platinum,Single,41,"Journalist, newspaper"
503,503,High,Platinum,Married,69,Trade mark attorney
504,504,Medium,Silver,Married,51,Outdoor activities/education manager
505,505,Low,Bronze,Married,33,"Pilot, airline"
506,506,High,Silver,Married,45,Occupational psychologist
507,507,Low,Bronze,Single,58,Adult guidance worker
508,508,High,Platinum,Single,20,Banker
509,509,Medium,Platinum,Married,36,"Engineer, chemical"
510,510,Medium,Gold,Married,20,Commercial horticulturist
511,511,Low,Platinum,Married,62,Trading standards officer
512,512,Medium,Gold,Married,52,Television/film/video producer
513,513,Low,Bronze,Single,27,"Engineer, electronics"
514,514,Medium,Platinum,Single,30,"Civil engineer, consulting"
515,515,Medium,Bronze,Married,46,Telecommunications researcher
516,516,Low,Silver,Married,58,"Geologist, engineering"
517,517,High,Gold,Married,39,Intelligence analyst
518,518,High,Gold,Single,20,Sales executive
519,519,Low,Platinum,Single,35,"Conservation officer, historic buildings"
520,520,Low,Silver,Married,19,Music therapist
521,521,High,Silver,Single,21,Magazine journalist
522,522,Low,Bronze,Single,53,Network engineer
523,523,High,Silver,Single,45,"Loss adjuster, chartered"
524,524,Low,Platinum,Married,70,Planning and development surveyor
525,525,Low,Gold,Single,50,Chief of Staff
526,526,High,Platinum,Single,59,"Runner, broadcasting/film/video"
527,527,High,Bronze,Married,63,Psychotherapist
528,528,Low,Gold,Single,25,Magazine journalist
529,529,Low,Gold,Single,65,"Administrator, Civil Service"
530,530,High,Platinum,Married,42,Market researcher
531,531,Medium,Platinum,Single,18,"Geologist, wellsite"
532,532,High,Platinum,Married,25,Technical brewer
533,533,Medium,Bronze,Single,23,Health service manager
534,534,Low,Bronze,Single,69,Health visitor
535,535,Low,Bronze,Single,24,Exhibition designer
536,536,Low,Gold,Married,36,Associate Professor
537,537,Medium,Gold,Single,38,Production manager
538,538,Low,Platinum,Single,49,Furniture conservator/restorer
539,539,High,Silver,Married,56,"Buyer, retail"
540,540,Low,Gold,Single,23,Regulatory affairs officer
541,541,Low,Bronze,Married,40,"Engineer, water"
542,542,High,Platinum,Single,19,Petroleum engineer
543,543,Low,Bronze,Single,35,Banker
544,544,High,Bronze,Married,26,Editorial assistant
545,545,Medium,Platinum,Single,47,Public librarian
546,546,Low,Platinum,Married,34,"Engineer, communications"
547,547,High,Silver,Married,34,Energy manager
548,548,Low,Silver,Married,28,Pensions consultant
549,549,High,Platinum,Single,20,Warden/ranger
550,550,High,Platinum,Married,19,"Scientist, product/process development"
